id,gene
ENSMUSG00000028212,Ccne2
ENSMUSG00000028532,Cachd1
ENSMUSG00000028681,Ptch2
ENSMUSG00000029207,Apbb2
ENSMUSG00000029249,Rest
ENSMUSG00000029385,Ccng2
ENSMUSG00000029405,G3bp2
ENSMUSG00000030019,Fbxl14
ENSMUSG00000030170,Wnt5b
ENSMUSG00000030619,Eed
ENSMUSG00000030981,Mmp21
ENSMUSG00000031642,Sh3rf1
ENSMUSG00000031665,Sall1
ENSMUSG00000031822,Gse1
ENSMUSG00000032035,Ets1
ENSMUSG00000032402,Smad3
ENSMUSG00000032531,Amotl2
ENSMUSG00000033237,Arid2
ENSMUSG00000033767,D930015E06Rik
ENSMUSG00000033952,Aspm
ENSMUSG00000034645,Zyg11a
ENSMUSG00000034673,Pbx2
ENSMUSG00000034731,Dgkh
ENSMUSG00000034765,Dusp5
ENSMUSG00000035621,Midn
ENSMUSG00000036158,Prickle1
ENSMUSG00000037025,Foxa2
ENSMUSG00000037211,Spry1
ENSMUSG00000037331,Larp1
ENSMUSG00000038013,Wipf2
ENSMUSG00000038526,Car14
ENSMUSG00000038894,Irs2
ENSMUSG00000039831,Arhgap29
ENSMUSG00000041703,Zic5
ENSMUSG00000041930,Fam222a
ENSMUSG00000042812,Foxf1
ENSMUSG00000042821,Snai1
ENSMUSG00000044220,Nkx2-3
ENSMUSG00000044548,Dact1
ENSMUSG00000045095,Magi1
ENSMUSG00000045205,Dpy19l4
ENSMUSG00000045817,Zfp36l2
ENSMUSG00000047945,Marcksl1
ENSMUSG00000048027,Rgmb
ENSMUSG00000048616,Nog
ENSMUSG00000051367,Six1
ENSMUSG00000053166,Cdh22
ENSMUSG00000053907,Mat2a
ENSMUSG00000055799,Tcf7l1
ENSMUSG00000057177,Gsk3a
ENSMUSG00000061079,Zfp143
ENSMUSG00000061143,Maml3
ENSMUSG00000061524,Zic2
ENSMUSG00000063524,Eno1
ENSMUSG00000063765,Chadl
ENSMUSG00000066191,Anks6
ENSMUSG00000070520,Ndnl2
ENSMUSG00000070867,Trabd2b
ENSMUSG00000078484,Klhl17
ENSMUSG00000078619,Smarcd2
ENSMUSG00000079259,Trim71
ENSMUSG00000085795,Zfp703
ENSMUSG00000089762,Ier5l
ENSMUSG00000063632,Sox11
ENSMUSG00000005533,Igf1r
ENSMUSG00000011158,Brf1
ENSMUSG00000015053,Gata2
ENSMUSG00000020358,Hnrnpab
ENSMUSG00000024750,Zfand5
ENSMUSG00000026349,Ccnt2
ENSMUSG00000026584,Scyl3
ENSMUSG00000033760,Rbm4b
ENSMUSG00000037169,Mycn
ENSMUSG00000037573,Tob1
ENSMUSG00000038146,Notch3
ENSMUSG00000070509,Rgma
ENSMUSG00000071172,Srsf3
ENSMUSG00000000088,Cox5a
ENSMUSG00000000142,Axin2
ENSMUSG00000000247,Lhx2
ENSMUSG00000000282,Mnt
ENSMUSG00000000296,Tpd52l1
ENSMUSG00000000303,Cdh1
ENSMUSG00000000305,Cdh4
ENSMUSG00000000420,Galnt1
ENSMUSG00000000567,Sox9
ENSMUSG00000000605,Clcn4-2
ENSMUSG00000000632,Sez6
ENSMUSG00000000738,Spg7
ENSMUSG00000000804,Usp32
ENSMUSG00000001054,Rmnd5b
ENSMUSG00000001076,C1ql4
ENSMUSG00000001150,Mcm3ap
ENSMUSG00000001227,Sema6b
ENSMUSG00000001436,Slc19a1
ENSMUSG00000001440,Kpnb1
ENSMUSG00000001467,Cyp51
ENSMUSG00000001472,Tcf25
ENSMUSG00000001496,Nkx2-1
ENSMUSG00000001687,Ubl3
ENSMUSG00000001755,Coasy
ENSMUSG00000001761,Smo
ENSMUSG00000001833,7-Sep
ENSMUSG00000001985,Grik3
ENSMUSG00000002017,Fam98a
ENSMUSG00000002028,Mll1
ENSMUSG00000002083,Bbc3
ENSMUSG00000002105,Slc39a13
ENSMUSG00000002222,Rmnd5a
ENSMUSG00000002249,Tead3
ENSMUSG00000002372,Ranbp3
ENSMUSG00000002393,Nr2f6
ENSMUSG00000002688,Prkd1
ENSMUSG00000002728,Naa20
ENSMUSG00000002731,Prkra
ENSMUSG00000002799,Jag2
ENSMUSG00000002812,Flii
ENSMUSG00000002844,Adprh
ENSMUSG00000002948,Map2k7
ENSMUSG00000002957,Ap2a2
ENSMUSG00000003031,Cdkn1b
ENSMUSG00000003119,Cdk12
ENSMUSG00000003131,Pafah1b2
ENSMUSG00000003316,Glg1
ENSMUSG00000003378,Grik5
ENSMUSG00000003526,Prodh
ENSMUSG00000003575,Crtc1
ENSMUSG00000003810,Mast2
ENSMUSG00000003847,Nfat5
ENSMUSG00000003873,Bax
ENSMUSG00000003934,Efnb3
ENSMUSG00000003949,Hlf
ENSMUSG00000003992,Ssbp2
ENSMUSG00000004040,Stat3
ENSMUSG00000004056,Akt2
ENSMUSG00000004085,B230120H23Rik
ENSMUSG00000004151,Etv1
ENSMUSG00000004263,Atn1
ENSMUSG00000004383,Large
ENSMUSG00000004462,Tbccd1
ENSMUSG00000004535,Tax1bp1
ENSMUSG00000004567,Mcoln1
ENSMUSG00000004591,Pkn2
ENSMUSG00000004633,Chn2
ENSMUSG00000004768,Rab23
ENSMUSG00000004789,Dlst
ENSMUSG00000004798,Ulk2
ENSMUSG00000004897,Hdgf
ENSMUSG00000004980,Hnrnpa2b1
ENSMUSG00000005034,Prkacb
ENSMUSG00000005148,Klf5
ENSMUSG00000005204,Senp3
ENSMUSG00000005237,Dnahc2
ENSMUSG00000005312,Ubqln1
ENSMUSG00000005338,Cadm3
ENSMUSG00000005371,Fbxo11
ENSMUSG00000005447,Pafah1b3
ENSMUSG00000005514,Por
ENSMUSG00000005566,Trim28
ENSMUSG00000005580,Adcy9
ENSMUSG00000005621,Zfp592
ENSMUSG00000005698,Ctcf
ENSMUSG00000005886,Ncoa2
ENSMUSG00000005893,Nr2c2
ENSMUSG00000005936,Kctd20
ENSMUSG00000006378,Gcat
ENSMUSG00000006445,Epha2
ENSMUSG00000006494,Pdk1
ENSMUSG00000006527,Sfmbt1
ENSMUSG00000006576,Slc4a3
ENSMUSG00000006585,Cdt1
ENSMUSG00000006586,Runx1t1
ENSMUSG00000006673,Qrich1
ENSMUSG00000006731,B4galnt1
ENSMUSG00000006784,Ttc25
ENSMUSG00000006941,Eif1b
ENSMUSG00000007036,Abhd16a
ENSMUSG00000007050,Lsm2
ENSMUSG00000007415,Gatad1
ENSMUSG00000007570,Fance
ENSMUSG00000007613,Tgfbr1
ENSMUSG00000007617,Homer1
ENSMUSG00000007656,Arpp19
ENSMUSG00000007659,Bcl2l1
ENSMUSG00000007817,Zmiz1
ENSMUSG00000007836,Hnrnpa0
ENSMUSG00000008140,Emc10
ENSMUSG00000008200,Fnbp4
ENSMUSG00000008305,Tle1
ENSMUSG00000008318,Relt
ENSMUSG00000008348,Ubc
ENSMUSG00000008384,Sertad1
ENSMUSG00000008429,Herpud2
ENSMUSG00000008450,Nutf2
ENSMUSG00000008604,Ubqln4
ENSMUSG00000008958,Vps72
ENSMUSG00000009248,Ascl2
ENSMUSG00000009569,Mkl2
ENSMUSG00000009621,Vav2
ENSMUSG00000010048,Ifrd2
ENSMUSG00000010064,Slc38a3
ENSMUSG00000010453,Kansl3
ENSMUSG00000010517,Faf1
ENSMUSG00000010538,Tsacc
ENSMUSG00000010608,Rbm25
ENSMUSG00000011179,Odc1
ENSMUSG00000011831,Evi5
ENSMUSG00000011884,Gltp
ENSMUSG00000013033,Lphn1
ENSMUSG00000013415,Igf2bp1
ENSMUSG00000013419,Zfp651
ENSMUSG00000013663,Pten
ENSMUSG00000013973,Dedd
ENSMUSG00000014039,Prdm15
ENSMUSG00000014195,Dnajc7
ENSMUSG00000014349,Ube2z
ENSMUSG00000014418,Hps5
ENSMUSG00000014444,Piezo1
ENSMUSG00000014470,Rnf166
ENSMUSG00000014771,Pdcd2
ENSMUSG00000014859,E2f4
ENSMUSG00000014932,Yes1
ENSMUSG00000014956,Ppp1cb
ENSMUSG00000014959,Gorasp2
ENSMUSG00000015087,Rabl6
ENSMUSG00000015120,Ube2i
ENSMUSG00000015143,Actn1
ENSMUSG00000015189,Casd1
ENSMUSG00000015202,Cnksr3
ENSMUSG00000015305,Sash1
ENSMUSG00000015377,Dennd6b
ENSMUSG00000015501,Hivep2
ENSMUSG00000015605,Srf
ENSMUSG00000015652,Steap1
ENSMUSG00000015749,Anp32e
ENSMUSG00000015755,Tab2
ENSMUSG00000015839,Nfe2l2
ENSMUSG00000015882,Lcorl
ENSMUSG00000015937,H2afy
ENSMUSG00000015942,Gtf2ird2
ENSMUSG00000015961,Adss
ENSMUSG00000015994,Fnta
ENSMUSG00000016087,Fli1
ENSMUSG00000016346,Kcnq2
ENSMUSG00000016487,Ppfibp1
ENSMUSG00000016520,Lnx2
ENSMUSG00000016559,H3f3b
ENSMUSG00000016619,Nup50
ENSMUSG00000016624,Phf21b
ENSMUSG00000016831,Tox4
ENSMUSG00000016940,Kctd2
ENSMUSG00000017009,Sdc4
ENSMUSG00000017286,Glod4
ENSMUSG00000017548,Suz12
ENSMUSG00000017707,Serinc3
ENSMUSG00000018143,Mafk
ENSMUSG00000018293,Pfn1
ENSMUSG00000018363,Smurf2
ENSMUSG00000018378,Cuedc1
ENSMUSG00000018411,Mapt
ENSMUSG00000018476,Kdm6b
ENSMUSG00000018500,Adora2b
ENSMUSG00000018509,Cenpv
ENSMUSG00000018548,Trim37
ENSMUSG00000018697,Aatf
ENSMUSG00000018765,Fxr2
ENSMUSG00000018899,Irf1
ENSMUSG00000018965,Ywhah
ENSMUSG00000018983,E2f2
ENSMUSG00000019146,Cacng2
ENSMUSG00000019433,Gipc1
ENSMUSG00000019467,Arhgef25
ENSMUSG00000019487,Trip10
ENSMUSG00000019505,Ubb
ENSMUSG00000019590,Cyb561
ENSMUSG00000019699,Akt3
ENSMUSG00000019794,Katna1
ENSMUSG00000019796,Lrp11
ENSMUSG00000019804,Snx3
ENSMUSG00000019818,Cd164
ENSMUSG00000019831,Wasf1
ENSMUSG00000019841,Rev3l
ENSMUSG00000019843,Fyn
ENSMUSG00000019854,Reps1
ENSMUSG00000019907,Ppp1r12a
ENSMUSG00000019943,Atp2b1
ENSMUSG00000019979,Apaf1
ENSMUSG00000019982,Myb
ENSMUSG00000019984,Med23
ENSMUSG00000019996,Map7
ENSMUSG00000020015,Cdk17
ENSMUSG00000020027,Socs2
ENSMUSG00000020121,Srgap1
ENSMUSG00000020124,Usp15
ENSMUSG00000020132,Rab21
ENSMUSG00000020166,Cnot2
ENSMUSG00000020170,Frs2
ENSMUSG00000020178,Adora2a
ENSMUSG00000020184,Mdm2
ENSMUSG00000020214,Glipr1l2
ENSMUSG00000020289,Nprl3
ENSMUSG00000020307,Cdc34
ENSMUSG00000020312,Shc2
ENSMUSG00000020349,Ppp2ca
ENSMUSG00000020361,Hspa4
ENSMUSG00000020387,Phf15
ENSMUSG00000020390,Ube2b
ENSMUSG00000020393,Kremen1
ENSMUSG00000020396,Nefh
ENSMUSG00000020451,Limk2
ENSMUSG00000020453,Patz1
ENSMUSG00000020457,Drg1
ENSMUSG00000020469,Myl7
ENSMUSG00000020473,Aebp1
ENSMUSG00000020483,Dynll2
ENSMUSG00000020495,Smg8
ENSMUSG00000020496,Rnf187
ENSMUSG00000020519,Sap30l
ENSMUSG00000020530,Ggnbp2
ENSMUSG00000020572,Nampt
ENSMUSG00000020580,Rock2
ENSMUSG00000020585,Laptm4a
ENSMUSG00000020594,Pum2
ENSMUSG00000020612,Prkar1a
ENSMUSG00000020624,4933434M16Rik
ENSMUSG00000020647,Ncoa1
ENSMUSG00000020653,Klf11
ENSMUSG00000020661,Dnmt3a
ENSMUSG00000020694,Tlk2
ENSMUSG00000020705,Ddx42
ENSMUSG00000020718,Polg2
ENSMUSG00000020719,Ddx5
ENSMUSG00000020733,Slc9a3r1
ENSMUSG00000020783,1200014J11Rik
ENSMUSG00000020792,Exoc7
ENSMUSG00000020794,Ube2g1
ENSMUSG00000020802,Ube2o
ENSMUSG00000020821,Kif1c
ENSMUSG00000020834,Dhrs13
ENSMUSG00000020846,Fam101b
ENSMUSG00000020849,Ywhae
ENSMUSG00000020864,Ankrd40
ENSMUSG00000020872,Tac4
ENSMUSG00000020873,Slc35b1
ENSMUSG00000020883,Fbxl20
ENSMUSG00000020887,A230052G05Rik
ENSMUSG00000020899,Pfas
ENSMUSG00000020902,Ntn1
ENSMUSG00000020923,Ubtf
ENSMUSG00000020962,Gtf2a1
ENSMUSG00000020978,Klhdc2
ENSMUSG00000021000,Ctage5
ENSMUSG00000021010,Npas3
ENSMUSG00000021018,Polr2h
ENSMUSG00000021025,Nfkbia
ENSMUSG00000021047,Nova1
ENSMUSG00000021048,Mthfd1
ENSMUSG00000021054,Sgpp1
ENSMUSG00000021061,Sptb
ENSMUSG00000021065,Fut8
ENSMUSG00000021094,Dhrs7
ENSMUSG00000021095,Gsc
ENSMUSG00000021109,Hif1a
ENSMUSG00000021112,Mpp5
ENSMUSG00000021113,Snapc1
ENSMUSG00000021134,Srsf5
ENSMUSG00000021175,Cdca7l
ENSMUSG00000021180,Rps6ka5
ENSMUSG00000021187,Tc2n
ENSMUSG00000021188,Trip11
ENSMUSG00000021203,Otub2
ENSMUSG00000021265,Slc25a29
ENSMUSG00000021278,Amn
ENSMUSG00000021279,Cdc42bpb
ENSMUSG00000021282,Eif5
ENSMUSG00000021314,Amph
ENSMUSG00000021371,Mcur1
ENSMUSG00000021377,Dek
ENSMUSG00000021391,Cenpp
ENSMUSG00000021408,Ripk1
ENSMUSG00000021460,Auh
ENSMUSG00000021464,Ror2
ENSMUSG00000021488,Nsd1
ENSMUSG00000021496,Pcbd2
ENSMUSG00000021504,B4galt7
ENSMUSG00000021506,Pitx1
ENSMUSG00000021519,Mterfd1
ENSMUSG00000021540,Smad5
ENSMUSG00000021549,Rasa1
ENSMUSG00000021552,Gkap1
ENSMUSG00000021555,Naa35
ENSMUSG00000021635,Rad17
ENSMUSG00000021687,Scamp1
ENSMUSG00000021706,Zfyve16
ENSMUSG00000021709,Erbb2ip
ENSMUSG00000021728,Emb
ENSMUSG00000021738,Atxn7
ENSMUSG00000021767,Kat6b
ENSMUSG00000021774,Ube2e1
ENSMUSG00000021775,Nr1d2
ENSMUSG00000021782,Dlg5
ENSMUSG00000021840,Mapk1ip1l
ENSMUSG00000021892,Sh3bp5
ENSMUSG00000021939,Ctsb
ENSMUSG00000021959,Lats2
ENSMUSG00000022010,Tsc22d1
ENSMUSG00000022019,Tdrd3
ENSMUSG00000022020,Naa16
ENSMUSG00000022023,Wbp4
ENSMUSG00000022099,Epb4.9
ENSMUSG00000022105,Rb1
ENSMUSG00000022108,Itm2b
ENSMUSG00000022116,4930449E01Rik
ENSMUSG00000022119,Rbm26
ENSMUSG00000022124,Fbxl3
ENSMUSG00000022131,Gpr180
ENSMUSG00000022136,Dnajc3
ENSMUSG00000022141,Nipbl
ENSMUSG00000022178,Ajuba
ENSMUSG00000022203,Efs
ENSMUSG00000022283,Pabpc1
ENSMUSG00000022330,Osr2
ENSMUSG00000022335,Zfat
ENSMUSG00000022353,Mtss1
ENSMUSG00000022360,Atad2
ENSMUSG00000022382,Wnt7b
ENSMUSG00000022386,Trmu
ENSMUSG00000022412,Smcr7l
ENSMUSG00000022421,Nptxr
ENSMUSG00000022426,Josd1
ENSMUSG00000022442,Ttll1
ENSMUSG00000022455,Wbp2nl
ENSMUSG00000022463,Srebf2
ENSMUSG00000022483,Col2a1
ENSMUSG00000022503,Nubp1
ENSMUSG00000022515,Anks3
ENSMUSG00000022533,Atp13a3
ENSMUSG00000022555,Dgat1
ENSMUSG00000022568,Scrib
ENSMUSG00000022629,Kif21a
ENSMUSG00000022635,Zcrb1
ENSMUSG00000022641,Bbx
ENSMUSG00000022663,Atg3
ENSMUSG00000022673,Mcm4
ENSMUSG00000022706,Mrpl40
ENSMUSG00000022721,Trmt2a
ENSMUSG00000022738,Gsc2
ENSMUSG00000022752,Tomm70a
ENSMUSG00000022773,Ypel1
ENSMUSG00000022781,Pak2
ENSMUSG00000022788,Fgd4
ENSMUSG00000022791,Tnk2
ENSMUSG00000022797,Tfrc
ENSMUSG00000022801,Lrch3
ENSMUSG00000022812,Gsk3b
ENSMUSG00000022840,Adcy5
ENSMUSG00000022843,Clcn2
ENSMUSG00000022884,Eif4a2
ENSMUSG00000022898,Dscr3
ENSMUSG00000022960,Donson
ENSMUSG00000022969,Il10rb
ENSMUSG00000022974,Paxbp1
ENSMUSG00000022983,Scaf4
ENSMUSG00000022999,Lmbr1l
ENSMUSG00000023007,Prpf40b
ENSMUSG00000023027,Atf1
ENSMUSG00000023075,Akirin1
ENSMUSG00000023087,Ccrn4l
ENSMUSG00000023150,Ivns1abp
ENSMUSG00000023286,Ube2j2
ENSMUSG00000023330,Dtwd1
ENSMUSG00000023473,Celsr3
ENSMUSG00000023495,Pcbp4
ENSMUSG00000023830,Igf2r
ENSMUSG00000023845,Lnpep
ENSMUSG00000023885,Thbs2
ENSMUSG00000023932,Cdc5l
ENSMUSG00000023944,Hsp90ab1
ENSMUSG00000023965,Fbxl17
ENSMUSG00000023967,Mrps18a
ENSMUSG00000023991,Foxp4
ENSMUSG00000024054,Smchd1
ENSMUSG00000024067,Dpy30
ENSMUSG00000024068,Spast
ENSMUSG00000024073,Birc6
ENSMUSG00000024074,Crim1
ENSMUSG00000024085,Man2a1
ENSMUSG00000024096,Ralbp1
ENSMUSG00000024112,Cacna1h
ENSMUSG00000024130,Abca3
ENSMUSG00000024160,Spsb3
ENSMUSG00000024173,Tpsab1
ENSMUSG00000024182,Axin1
ENSMUSG00000024190,Dusp1
ENSMUSG00000024212,Mllt1
ENSMUSG00000024220,Zfp523
ENSMUSG00000024235,Map3k8
ENSMUSG00000024240,Epc1
ENSMUSG00000024241,Sos1
ENSMUSG00000024247,Pkdcc
ENSMUSG00000024276,Zfp397
ENSMUSG00000024283,Wac
ENSMUSG00000024286,Ccny
ENSMUSG00000024287,Thoc1
ENSMUSG00000024294,Mib1
ENSMUSG00000024304,Cdh2
ENSMUSG00000024317,Rnf138
ENSMUSG00000024335,Brd2
ENSMUSG00000024352,Spata24
ENSMUSG00000024387,Csnk2b
ENSMUSG00000024429,Gnl1
ENSMUSG00000024456,Diap1
ENSMUSG00000024477,Pggt1b
ENSMUSG00000024505,Dtwd2
ENSMUSG00000024521,Pmaip1
ENSMUSG00000024524,Gnal
ENSMUSG00000024539,Ptpn2
ENSMUSG00000024548,Setbp1
ENSMUSG00000024556,Me2
ENSMUSG00000024563,Smad2
ENSMUSG00000024590,Lmnb1
ENSMUSG00000024597,Slc12a2
ENSMUSG00000024642,Tle4
ENSMUSG00000024695,Zfp91
ENSMUSG00000024758,Rtn3
ENSMUSG00000024759,Atl3
ENSMUSG00000024764,Naa40
ENSMUSG00000024812,Tjp2
ENSMUSG00000024817,Uhrf2
ENSMUSG00000024855,Pacs1
ENSMUSG00000024921,Smarca2
ENSMUSG00000024924,Vldlr
ENSMUSG00000024940,Ltbp3
ENSMUSG00000024943,Smc5
ENSMUSG00000024968,Rcor2
ENSMUSG00000024985,Tcf7l2
ENSMUSG00000024986,Hhex
ENSMUSG00000024991,Eif3a
ENSMUSG00000025010,Ccnj
ENSMUSG00000025025,Mxi1
ENSMUSG00000025026,Add3
ENSMUSG00000025034,Trim8
ENSMUSG00000025036,Sfxn2
ENSMUSG00000025049,Taf5
ENSMUSG00000025104,Hdgfrp3
ENSMUSG00000025132,Arhgdia
ENSMUSG00000025135,Anapc11
ENSMUSG00000025153,Fasn
ENSMUSG00000025173,Wdr45b
ENSMUSG00000025198,Erlin1
ENSMUSG00000025203,Scd2
ENSMUSG00000025217,Btrc
ENSMUSG00000025234,Arih1
ENSMUSG00000025236,Adpgk
ENSMUSG00000025237,Parp6
ENSMUSG00000025255,Zfhx4
ENSMUSG00000025316,Banp
ENSMUSG00000025340,Rabgef1
ENSMUSG00000025369,Smarcc2
ENSMUSG00000025371,Chmp6
ENSMUSG00000025417,Pip4k2c
ENSMUSG00000025451,Paip1
ENSMUSG00000025555,Farp1
ENSMUSG00000025583,Rptor
ENSMUSG00000025584,Pde8a
ENSMUSG00000025586,Cpeb1
ENSMUSG00000025607,Copg2
ENSMUSG00000025608,Podxl
ENSMUSG00000025702,8-Mar
ENSMUSG00000025764,Phf17
ENSMUSG00000025781,Atp5c1
ENSMUSG00000025786,Zdhhc3
ENSMUSG00000025794,Rpl14
ENSMUSG00000025858,Get4
ENSMUSG00000025876,Unc5a
ENSMUSG00000025878,Uimc1
ENSMUSG00000025932,Eya1
ENSMUSG00000025935,Tram1
ENSMUSG00000025939,Ube2w
ENSMUSG00000025940,Tmem70
ENSMUSG00000025959,Klf7
ENSMUSG00000025964,Adam23
ENSMUSG00000025979,Mob4
ENSMUSG00000025982,Sf3b1
ENSMUSG00000026014,Raph1
ENSMUSG00000026017,Carf
ENSMUSG00000026049,Tex30
ENSMUSG00000026082,Rev1
ENSMUSG00000026083,Eif5b
ENSMUSG00000026104,Stat1
ENSMUSG00000026112,Coa5
ENSMUSG00000026121,Sema4c
ENSMUSG00000026124,Cfc1
ENSMUSG00000026153,Fam135a
ENSMUSG00000026159,Agfg1
ENSMUSG00000026211,Obsl1
ENSMUSG00000026219,Trip12
ENSMUSG00000026227,2810459M11Rik
ENSMUSG00000026238,Ptma
ENSMUSG00000026254,Eif4e2
ENSMUSG00000026273,Mterfd2
ENSMUSG00000026279,Thap4
ENSMUSG00000026289,Atg16l1
ENSMUSG00000026309,Ilkap
ENSMUSG00000026341,Actr3
ENSMUSG00000026399,Cd55
ENSMUSG00000026421,Csrp1
ENSMUSG00000026432,Avpr1b
ENSMUSG00000026436,Elk4
ENSMUSG00000026437,Cdk18
ENSMUSG00000026447,Pik3c2b
ENSMUSG00000026456,Cyb5r1
ENSMUSG00000026490,Cdc42bpa
ENSMUSG00000026495,Efcab2
ENSMUSG00000026504,Sdccag8
ENSMUSG00000026509,Capn2
ENSMUSG00000026519,Tmem63a
ENSMUSG00000026556,Vangl2
ENSMUSG00000026558,Uck2
ENSMUSG00000026565,Pou2f1
ENSMUSG00000026575,Nme7
ENSMUSG00000026594,Ralgps2
ENSMUSG00000026623,Lpgat1
ENSMUSG00000026662,Sephs1
ENSMUSG00000026700,Tnfsf4
ENSMUSG00000026748,Plxdc2
ENSMUSG00000026765,Lypd6b
ENSMUSG00000026782,Abi2
ENSMUSG00000026785,Pkn3
ENSMUSG00000026788,Zbtb43
ENSMUSG00000026812,Tsc1
ENSMUSG00000026841,Fibcd1
ENSMUSG00000026856,Dolpp1
ENSMUSG00000026864,Hspa5
ENSMUSG00000026870,D730039F16Rik
ENSMUSG00000026915,Strbp
ENSMUSG00000026922,Agpat2
ENSMUSG00000026970,Rbms1
ENSMUSG00000027002,Nckap1
ENSMUSG00000027016,Zfp385b
ENSMUSG00000027030,Stk39
ENSMUSG00000027130,Slc12a6
ENSMUSG00000027171,Prrg4
ENSMUSG00000027173,Depdc7
ENSMUSG00000027175,Tcp11l1
ENSMUSG00000027177,Hipk3
ENSMUSG00000027188,Pamr1
ENSMUSG00000027189,Trim44
ENSMUSG00000027201,Myef2
ENSMUSG00000027203,Dut
ENSMUSG00000027217,Tspan18
ENSMUSG00000027239,Mdk
ENSMUSG00000027248,Pdia3
ENSMUSG00000027263,Tubgcp4
ENSMUSG00000027314,Dll4
ENSMUSG00000027323,Rad51
ENSMUSG00000027349,Fam98b
ENSMUSG00000027350,Chgb
ENSMUSG00000027351,Spred1
ENSMUSG00000027361,Gabpb1
ENSMUSG00000027365,Trpm7
ENSMUSG00000027381,Bcl2l11
ENSMUSG00000027424,Mgme1
ENSMUSG00000027435,Cd93
ENSMUSG00000027447,Cst3
ENSMUSG00000027506,Tpd52
ENSMUSG00000027509,Rae1
ENSMUSG00000027519,Rab22a
ENSMUSG00000027520,Zdbf2
ENSMUSG00000027522,Stx16
ENSMUSG00000027546,Atp9a
ENSMUSG00000027562,Car2
ENSMUSG00000027566,Psma7
ENSMUSG00000027593,Raly
ENSMUSG00000027596,a
ENSMUSG00000027612,Mmp24
ENSMUSG00000027620,Rbm39
ENSMUSG00000027630,Tbl1xr1
ENSMUSG00000027637,1110008F13Rik
ENSMUSG00000027641,Rbl1
ENSMUSG00000027651,Rprd1b
ENSMUSG00000027660,Skil
ENSMUSG00000027663,Zmat3
ENSMUSG00000027706,Sec62
ENSMUSG00000027716,Trpc3
ENSMUSG00000027739,Rab33b
ENSMUSG00000027782,Kpna4
ENSMUSG00000027805,Pfn2
ENSMUSG00000027829,Ccnl1
ENSMUSG00000027845,Dclre1b
ENSMUSG00000027878,Notch2
ENSMUSG00000027894,Slc6a17
ENSMUSG00000027905,Ddx20
ENSMUSG00000027933,Ints3
ENSMUSG00000027944,Hax1
ENSMUSG00000027954,Efna1
ENSMUSG00000028035,Dnajb4
ENSMUSG00000028042,Zbtb7b
ENSMUSG00000028070,Apoa1bp
ENSMUSG00000028080,Lrba
ENSMUSG00000028081,Rps3a1
ENSMUSG00000028101,Pias3
ENSMUSG00000028106,Rprd2
ENSMUSG00000028121,Bcar3
ENSMUSG00000028124,Gclm
ENSMUSG00000028163,Nfkb1
ENSMUSG00000028184,Lphn2
ENSMUSG00000028194,Ddah1
ENSMUSG00000028221,Tmem55a
ENSMUSG00000028224,Nbn
ENSMUSG00000028234,Rps20
ENSMUSG00000028331,5830415F09Rik
ENSMUSG00000028341,Nr4a3
ENSMUSG00000028344,Invs
ENSMUSG00000028345,Tex10
ENSMUSG00000028402,Mpdz
ENSMUSG00000028412,Slc44a1
ENSMUSG00000028413,B4galt1
ENSMUSG00000028416,Bag1
ENSMUSG00000028417,Tal2
